ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
ko03410	Base excision repair	22/1948	70/16222	1.36345841651694e-05	1.36345841651694e-05	0.00039794719333748	evm.model.ctg1345.21/evm.model.ctg3196.3/evm.model.ctg3218.1/evm.model.ctg3890.43/evm.model.ctg3985.20/evm.model.ctg3236.2/evm.model.ctg3243.6/evm.model.ctg3244.9/evm.model.ctg4019.7/evm.model.ctg2757.10/evm.model.ctg3377.21/evm.model.ctg3710.7/evm.model.ctg2480.133/evm.model.ctg3537.10/evm.model.ctg3941.2/evm.model.ctg2671.5/evm.model.ctg3277.17/evm.model.ctg1345.20/evm.model.ctg3196.4/evm.model.ctg3985.19/evm.model.ctg2747.12/evm.model.ctg1188.14	22
ko03260	Virion - Human immunodeficiency virus	5/1948	5/16222	2.48576097248203e-05	2.48576097248203e-05	0.000665050084742999	evm.model.ctg1757.112/evm.model.ctg23.2/evm.model.ctg2635.11/evm.model.ctg3000.5/evm.model.ctg3563.2	5
ko04977	Vitamin digestion and absorption	19/1948	58/16222	2.70995270086734e-05	2.70995270086734e-05	0.000669259573898413	evm.model.ctg101.4/evm.model.ctg1858.10/evm.model.ctg2165.11/evm.model.ctg2555.1/evm.model.ctg2956.11/evm.model.ctg2956.5/evm.model.ctg3016.12/evm.model.ctg3060.2/evm.model.ctg3350.5/evm.model.ctg3351.1/evm.model.ctg3351.6/evm.model.ctg3770.1/evm.model.ctg3770.11/evm.model.ctg3770.6/evm.model.ctg380.1/evm.model.ctg3920.2/evm.model.ctg2658.2/evm.model.ctg341.28/evm.model.ctg3504.18	19
ko03110	Chaperones and folding catalysts	52/1948	251/16222	5.29714388123516e-05	5.29714388123516e-05	0.00121475855923062	evm.model.ctg1196.21/evm.model.ctg1196.22/evm.model.ctg1196.25/evm.model.ctg1245.147/evm.model.ctg1453.12/evm.model.ctg1918.76/evm.model.ctg2542.22/evm.model.ctg2607.100/evm.model.ctg2607.101/evm.model.ctg2607.102/evm.model.ctg2607.103/evm.model.ctg2607.182/evm.model.ctg2607.183/evm.model.ctg2607.97/evm.model.ctg2607.98/evm.model.ctg2607.99/evm.model.ctg2970.6/evm.model.ctg3811.1/evm.model.ctg3811.2/evm.model.ctg3811.3/evm.model.ctg3811.4/evm.model.ctg3886.61/evm.model.ctg3891.61/evm.model.ctg397.307/evm.model.ctg2932.7/evm.model.ctg4101.9/evm.model.ctg1177.10/evm.model.ctg2718.3/evm.model.ctg3632.2/evm.model.ctg3948.4/evm.model.ctg2534.16/evm.model.ctg3185.2/evm.model.ctg3687.16/evm.model.ctg3687.17/evm.model.ctg4004.8/evm.model.ctg3445.26/evm.model.ctg3487.11/evm.model.ctg646.22/evm.model.ctg1033.153/evm.model.ctg2613.3/evm.model.ctg2340.82/evm.model.ctg2675.5/evm.model.ctg3373.4/evm.model.ctg518.60/evm.model.ctg2972.31/evm.model.ctg2990.9/evm.model.ctg3920.21/evm.model.ctg397.498/evm.model.ctg3280.426/evm.model.ctg397.500/evm.model.ctg629.176/evm.model.ctg3175.7	52
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	12/1948	30/16222	9.35017311371005e-05	9.35017311371005e-05	0.00200126512258356	evm.model.ctg1274.21/evm.model.ctg2340.185/evm.model.ctg2642.10/evm.model.ctg2884.3/evm.model.ctg2884.4/evm.model.ctg3199.5/evm.model.ctg4121.16/evm.model.ctg3711.10/evm.model.ctg400.31/evm.model.ctg4119.3/evm.model.ctg4119.4/evm.model.ctg47.2	12
ko04672	Intestinal immune network for IgA production	41/1948	189/16222	0.000110516338795662	0.000110516338795662	0.00221759758767611	evm.model.ctg2775.8/evm.model.ctg2775.9/evm.model.ctg2778.4/evm.model.ctg2778.5/evm.model.ctg2778.6/evm.model.ctg2778.8/evm.model.ctg2778.9/evm.model.ctg2779.1/evm.model.ctg2779.2/evm.model.ctg2779.5/evm.model.ctg2804.1/evm.model.ctg319.1/evm.model.ctg3684.16/evm.model.ctg3684.17/evm.model.ctg3684.18/evm.model.ctg3684.19/evm.model.ctg3684.21/evm.model.ctg3684.22/evm.model.ctg3684.23/evm.model.ctg3684.24/evm.model.ctg3684.25/evm.model.ctg3684.26/evm.model.ctg488.2/evm.model.ctg299.1/evm.model.ctg299.2/evm.model.ctg299.3/evm.model.ctg299.4/evm.model.ctg299.6/evm.model.ctg3711.24/evm.model.ctg3711.26/evm.model.ctg3711.27/evm.model.ctg3711.28/evm.model.ctg1757.112/evm.model.ctg23.2/evm.model.ctg2635.11/evm.model.ctg3000.5/evm.model.ctg3563.2/evm.model.ctg3474.54/evm.model.ctg3474.55/evm.model.ctg887.13/evm.model.ctg2719.8	41
ko00330	Arginine and proline metabolism	23/1948	90/16222	0.000305705051187666	0.000305705051187666	0.00577337712769276	evm.model.ctg3168.3/evm.model.ctg3401.76/evm.model.ctg3945.13/evm.model.ctg3945.6/evm.model.ctg3945.9/evm.model.ctg3951.12/evm.model.ctg1274.22/evm.model.ctg1274.23/evm.model.ctg2642.11/evm.model.ctg3199.6/evm.model.ctg4121.17/evm.model.ctg4121.18/evm.model.ctg2865.10/evm.model.ctg2987.12/evm.model.ctg3013.4/evm.model.ctg2579.6/evm.model.ctg3111.6/evm.model.ctg3349.13/evm.model.ctg1220.22/evm.model.ctg3129.41/evm.model.ctg3529.4/evm.model.ctg2943.15/evm.model.ctg4059.8	23
ko05020	Prion disease	66/1948	363/16222	0.000353200876217725	0.000353200876217725	0.00629978171031614	evm.model.ctg1196.21/evm.model.ctg1196.22/evm.model.ctg1196.25/evm.model.ctg1245.147/evm.model.ctg1918.76/evm.model.ctg2542.22/evm.model.ctg2607.100/evm.model.ctg2607.101/evm.model.ctg2607.102/evm.model.ctg2607.103/evm.model.ctg2607.182/evm.model.ctg2607.183/evm.model.ctg2607.97/evm.model.ctg2607.98/evm.model.ctg2607.99/evm.model.ctg3811.1/evm.model.ctg3811.2/evm.model.ctg3811.3/evm.model.ctg3811.4/evm.model.ctg397.307/evm.model.ctg3317.4/evm.model.ctg676.2/evm.model.ctg2630.5/evm.model.ctg2737.3/evm.model.ctg3325.5/evm.model.ctg2489.93/evm.model.ctg2489.94/evm.model.ctg2489.98/evm.model.ctg3445.3/evm.model.ctg3595.2/evm.model.ctg3614.960/evm.model.ctg2712.6/evm.model.ctg3323.2/evm.model.ctg3620.1/evm.model.ctg3683.10/evm.model.ctg1169.7/evm.model.ctg2885.50/evm.model.ctg3527.48/evm.model.ctg2741.3/evm.model.ctg3526.6/evm.model.ctg3637.10/evm.model.ctg2510.11/evm.model.ctg3449.40/evm.model.ctg3512.52/evm.model.ctg162.13/evm.model.ctg3928.86/evm.model.ctg3928.88/evm.model.ctg2649.5/evm.model.ctg2748.19/evm.model.ctg3453.16/evm.model.ctg1045.7/evm.model.ctg3134.17/evm.model.ctg3448.346/evm.model.ctg3782.13/evm.model.ctg3787.23/evm.model.ctg3948.50/evm.model.ctg2724.16/evm.model.ctg4081.24/evm.model.ctg3084.1/evm.model.ctg618.3/evm.model.ctg3156.3/evm.model.ctg2692.5/evm.model.ctg4045.21/evm.model.ctg2810.14/evm.model.ctg162.8/evm.model.ctg3610.6	66
ko00260	Glycine, serine and threonine metabolism	17/1948	59/16222	0.000406811515763091	0.000406811515763091	0.00687410040486109	evm.model.ctg2566.8/evm.model.ctg3086.12/evm.model.ctg3086.13/evm.model.ctg3092.15/evm.model.ctg3361.22/evm.model.ctg95.3/evm.model.ctg1010.17/evm.model.ctg3208.14/evm.model.ctg3235.12/evm.model.ctg3235.13/evm.model.ctg3671.7/evm.model.ctg1220.22/evm.model.ctg3129.41/evm.model.ctg3529.4/evm.model.ctg2554.5/evm.model.ctg3732.2/evm.model.ctg1010.15	17
ko03021	Transcription machinery	66/1948	366/16222	0.000445956583156095	0.000445956583156095	0.007158776729611	evm.model.ctg3203.13/evm.model.ctg3685.61/evm.model.ctg4001.16/evm.model.ctg4001.17/evm.model.ctg4010.11/evm.model.ctg4010.12/evm.model.ctg4010.13/evm.model.ctg4010.14/evm.model.ctg507.4/evm.model.ctg507.5/evm.model.ctg1858.1/evm.model.ctg2248.1/evm.model.ctg3770.22/evm.model.ctg3770.24/evm.model.ctg3770.25/evm.model.ctg3920.10/evm.model.ctg3920.9/evm.model.ctg3018.84/evm.model.ctg3195.47/evm.model.ctg3669.11/evm.model.ctg2583.6/evm.model.ctg3377.9/evm.model.ctg346.65/evm.model.ctg346.67/evm.model.ctg3698.10/evm.model.ctg3698.8/evm.model.ctg2868.9/evm.model.ctg3500.1/evm.model.ctg2748.234/evm.model.ctg3477.4/evm.model.ctg3478.2/evm.model.ctg554.2/evm.model.ctg1525.2/evm.model.ctg2704.97/evm.model.ctg3653.32/evm.model.ctg3656.62/evm.model.ctg1654.5/evm.model.ctg235.3/evm.model.ctg2732.4/evm.model.ctg183.30/evm.model.ctg3035.54/evm.model.ctg2019.24/evm.model.ctg3638.96/evm.model.ctg3886.42/evm.model.ctg3891.43/evm.model.ctg4101.11/evm.model.ctg3600.35/evm.model.ctg874.1/evm.model.ctg3131.22/evm.model.ctg3705.3/evm.model.ctg593.14/evm.model.ctg1606.41/evm.model.ctg1606.42/evm.model.ctg3129.14/evm.model.ctg4060.2/evm.model.ctg3568.15/evm.model.ctg3603.29/evm.model.ctg2493.287/evm.model.ctg230.5/evm.model.ctg3483.21/evm.model.ctg3600.136/evm.model.ctg2607.117/evm.model.ctg4120.15/evm.model.ctg1424.89/evm.model.ctg1188.7/evm.model.ctg3350.10	66
